time_s,event,group_id,detail
57.5281,MERGE,1,absorbed_group_117
58.1095,SATELLITE_PAIR,120,bacteria_57_61
58.1823,MERGE,1,absorbed_group_120
58.1823,SATELLITE_PAIR,121,bacteria_52_105
58.2554,MERGE,4,absorbed_group_121
58.2554,SATELLITE_PAIR,122,bacteria_18_163
58.3266,MERGE,4,absorbed_group_122
58.5422,PREDATOR_HIT,77,survived
58.8355,SATELLITE_PAIR,123,bacteria_70_73
58.8355,DISPERSE,123,hit_bacterium_73
58.8355,PREDATOR_HIT,123,killed
58.9077,MERGE,77,absorbed_group_123
58.9805,SATELLITE_PAIR,124,bacteria_37_40
59.0521,MERGE,1,absorbed_group_124
59.1993,SATELLITE_PAIR,125,bacteria_63_129
59.1993,SATELLITE_PAIR,126,bacteria_81_82
59.271,MERGE,1,absorbed_group_126
59.271,MERGE,4,absorbed_group_125
59.4894,PREDATOR_HIT,77,survived
59.7784,SATELLITE_PAIR,127,bacteria_44_74
59.8512,MERGE,1,absorbed_group_127
60.1411,SATELLITE_PAIR,128,bacteria_20_77
60.2127,MERGE,1,absorbed_group_128
60.5065,SATELLITE_PAIR,129,bacteria_47_54
60.5796,MERGE,1,absorbed_group_129
60.8679,SATELLITE_PAIR,130,bacteria_53_79
60.8679,SATELLITE_PAIR,131,bacteria_59_102
60.9396,MERGE,1,absorbed_group_130
61.011,PREDATOR_HIT,77,survived
61.1585,PREDATOR_HIT,77,killed
61.2326,SATELLITE_PAIR,132,bacteria_32_65
61.3056,MERGE,1,absorbed_group_132
62.1733,SATELLITE_PAIR,133,bacteria_31_86
62.2451,MERGE,1,absorbed_group_133
62.5382,SATELLITE_PAIR,134,bacteria_24_107
63.0511,SATELLITE_PAIR,135,bacteria_12_84
63.1237,MERGE,4,absorbed_group_135
63.8488,SATELLITE_PAIR,136,bacteria_51_167
63.9222,MERGE,4,absorbed_group_136
63.9222,SATELLITE_PAIR,137,bacteria_17_80
63.9958,MERGE,4,absorbed_group_137
63.9958,SATELLITE_PAIR,138,bacteria_19_41
63.9958,SATELLITE_PAIR,139,bacteria_83_98
64.0698,MERGE,131,absorbed_group_139
64.0698,MERGE,1,absorbed_group_138
64.0698,SATELLITE_PAIR,140,bacteria_36_58
64.1421,MERGE,4,absorbed_group_131
64.1421,MERGE,1,absorbed_group_140
64.1421,SATELLITE_PAIR,141,bacteria_0_1
64.1421,SATELLITE_PAIR,142,bacteria_2_100
64.1421,SATELLITE_PAIR,143,bacteria_16_160
64.1421,SATELLITE_PAIR,144,bacteria_25_78
64.1421,SATELLITE_PAIR,145,bacteria_64_76
64.1421,SATELLITE_PAIR,146,bacteria_135_142
64.1421,SATELLITE_PAIR,147,bacteria_161_164
64.1421,SATELLITE_PAIR,148,bacteria_165_170
64.1421,SATELLITE_PAIR,149,bacteria_171_173
64.216,MERGE,149,absorbed_group_148
64.216,MERGE,149,absorbed_group_147
64.216,MERGE,149,absorbed_group_143
64.216,MERGE,107,absorbed_group_149
64.216,MERGE,77,absorbed_group_145
64.216,MERGE,146,absorbed_group_142
64.216,MERGE,4,absorbed_group_146
64.216,MERGE,1,absorbed_group_144
64.216,SATELLITE_PAIR,150,bacteria_43_75
64.2884,MERGE,1,absorbed_group_150
64.2884,MERGE,4,absorbed_group_141
64.3608,SATELLITE_PAIR,151,bacteria_60_140
64.4321,MERGE,4,absorbed_group_151
64.5784,SATELLITE_PAIR,152,bacteria_33_42
64.653,MERGE,1,absorbed_group_152
64.8726,SATELLITE_PAIR,153,bacteria_5_134
64.8726,SATELLITE_PAIR,154,bacteria_23_132
64.947,MERGE,153,absorbed_group_154
64.947,MERGE,4,absorbed_group_153
65.0203,SATELLITE_PAIR,155,bacteria_4_72
65.0927,MERGE,4,absorbed_group_155
65.0927,SATELLITE_PAIR,156,bacteria_11_50
65.0927,SATELLITE_PAIR,157,bacteria_130_143
65.0927,SATELLITE_PAIR,158,bacteria_138_139
65.0927,SATELLITE_PAIR,159,bacteria_162_168
65.1665,MERGE,107,absorbed_group_159
65.1665,MERGE,157,absorbed_group_158
65.1665,MERGE,4,absorbed_group_157
65.1665,SATELLITE_PAIR,160,bacteria_133_137
65.2389,MERGE,4,absorbed_group_160
65.2389,SATELLITE_PAIR,161,bacteria_34_62
65.2389,SATELLITE_PAIR,162,bacteria_85_89
65.2389,SATELLITE_PAIR,163,bacteria_88_141
65.3122,MERGE,4,absorbed_group_163
65.3122,MERGE,1,absorbed_group_161
65.3867,MERGE,1,absorbed_group_162
65.3867,SATELLITE_PAIR,164,bacteria_35_48
65.4595,MERGE,1,absorbed_group_164
65.4595,SATELLITE_PAIR,165,bacteria_14_27
65.4595,SATELLITE_PAIR,166,bacteria_15_30
65.4595,SATELLITE_PAIR,167,bacteria_111_128
65.5338,MERGE,165,absorbed_group_166
65.5338,MERGE,4,absorbed_group_165
65.5338,MERGE,167,absorbed_group_156
65.6082,SATELLITE_PAIR,168,bacteria_68_69
65.6852,MERGE,77,absorbed_group_168
65.8353,SATELLITE_PAIR,169,bacteria_26_67
65.908,MERGE,1,absorbed_group_169
65.908,SATELLITE_PAIR,170,bacteria_172_174
65.985,SATELLITE_PAIR,171,bacteria_29_136
66.0583,MERGE,4,absorbed_group_171
66.2073,SATELLITE_PAIR,172,bacteria_46_61
66.2073,SATELLITE_PAIR,173,bacteria_52_110
66.2819,MERGE,1,absorbed_group_172
66.2819,MERGE,4,absorbed_group_173
66.2819,SATELLITE_PAIR,174,bacteria_28_163
66.3547,MERGE,4,absorbed_group_174
66.5032,SATELLITE_PAIR,175,bacteria_38_66
66.5757,MERGE,1,absorbed_group_175
66.7964,MERGE,107,absorbed_group_134
66.7964,SATELLITE_PAIR,176,bacteria_6_99
66.8662,MERGE,4,absorbed_group_176
67.0071,SATELLITE_PAIR,177,bacteria_37_57
67.0767,MERGE,1,absorbed_group_177
67.7561,SATELLITE_PAIR,178,bacteria_49_87
67.8243,MERGE,167,absorbed_group_178
67.8903,MERGE,4,absorbed_group_167
68.5495,SATELLITE_PAIR,179,bacteria_54_90
68.6151,MERGE,1,absorbed_group_179
68.9442,SATELLITE_PAIR,180,bacteria_81_93
68.9442,SATELLITE_PAIR,181,bacteria_101_105
69.0102,MERGE,1,absorbed_group_180
71.0601,SATELLITE_PAIR,182,bacteria_12_84
71.1257,MERGE,4,absorbed_group_182
71.2546,SATELLITE_PAIR,183,bacteria_82_112
71.3198,MERGE,1,absorbed_group_183
71.5173,SATELLITE_PAIR,184,bacteria_53_94
71.5833,MERGE,1,absorbed_group_184
71.9153,SATELLITE_PAIR,185,bacteria_63_80
71.9831,MERGE,4,absorbed_group_185
72.0493,SATELLITE_PAIR,186,bacteria_19_31
72.0493,DISPERSE,1,hit_bacterium_150
72.0493,PREDATOR_HIT,1,survived
72.1159,MERGE,1,absorbed_group_186
72.1159,REJOIN,1,bacterium_150
72.1159,SATELLITE_PAIR,187,bacteria_58_86
72.1159,PREDATOR_HIT,1,survived
72.1826,MERGE,1,absorbed_group_187
72.2468,PREDATOR_HIT,1,survived
72.2468,PREDATOR_HIT,1,survived
72.311,REJOIN,1,bacterium_3
72.311,PREDATOR_HIT,1,survived
72.3751,SATELLITE_PAIR,188,bacteria_18_91
72.4401,MERGE,4,absorbed_group_188
72.4401,SATELLITE_PAIR,189,bacteria_92_95
72.4401,PREDATOR_HIT,1,survived
72.5037,MERGE,4,absorbed_group_189
72.5037,PREDATOR_HIT,1,survived
72.5685,PREDATOR_HIT,1,survived
72.8257,SATELLITE_PAIR,190,bacteria_51_83
72.8909,MERGE,4,absorbed_group_190
72.8909,PREDATOR_HIT,1,survived
72.8909,PREDATOR_HIT,1,survived
73.087,SATELLITE_PAIR,191,bacteria_50_98
73.1518,MERGE,181,absorbed_group_191
73.618,MERGE,107,absorbed_group_170
73.6836,SATELLITE_PAIR,192,bacteria_30_60
73.7498,MERGE,4,absorbed_group_192
74.0726,SATELLITE_PAIR,193,bacteria_103_106
74.1365,MERGE,107,absorbed_group_193
74.5797,SATELLITE_PAIR,194,bacteria_113_114
74.6441,MERGE,4,absorbed_group_194
75.0279,SATELLITE_PAIR,195,bacteria_57_61
75.0924,MERGE,1,absorbed_group_195
75.5524,SATELLITE_PAIR,196,bacteria_85_89
75.6167,MERGE,1,absorbed_group_196
75.6167,SATELLITE_PAIR,197,bacteria_9_14
75.6829,MERGE,4,absorbed_group_197
75.8799,PREDATOR_HIT,1,survived
76.9679,SATELLITE_PAIR,198,bacteria_101_111
77.0325,MERGE,181,absorbed_group_198
77.0971,SATELLITE_PAIR,199,bacteria_11_49
